PK_Date;Moeda_Origem;Moeda_Destino;Exchange_Rate
01/01/1900 00:00;EURO;LIBRA;0,913
02/01/1900 00:00;EURO;LIBRA;0,911
03/01/1900 00:00;EURO;LIBRA;0,88
04/01/1900 00:00;EURO;LIBRA;0,894
05/01/1900 00:00;EURO;LIBRA;0,904
06/01/1900 00:00;EURO;LIBRA;0,893
07/01/1900 00:00;EURO;LIBRA;0,881
08/01/1900 00:00;EURO;LIBRA;0,901
09/01/1900 00:00;EURO;LIBRA;0,895
10/01/1900 00:00;EURO;LIBRA;0,886
11/01/1900 00:00;EURO;LIBRA;0,912
12/01/1900 00:00;EURO;LIBRA;0,906
13/01/1900 00:00;EURO;LIBRA;0,917
14/01/1900 00:00;EURO;LIBRA;0,895
15/01/1900 00:00;EURO;LIBRA;0,908
16/01/1900 00:00;EURO;LIBRA;0,892
17/01/1900 00:00;EURO;LIBRA;0,89
18/01/1900 00:00;EURO;LIBRA;0,904
19/01/1900 00:00;EURO;LIBRA;0,92
20/01/1900 00:00;EURO;LIBRA;0,906
21/01/1900 00:00;EURO;LIBRA;0,919
22/01/1900 00:00;EURO;LIBRA;0,905
23/01/1900 00:00;EURO;LIBRA;0,881
24/01/1900 00:00;EURO;LIBRA;0,911
25/01/1900 00:00;EURO;LIBRA;0,906
26/01/1900 00:00;EURO;LIBRA;0,889
27/01/1900 00:00;EURO;LIBRA;0,884
28/01/1900 00:00;EURO;LIBRA;0,898
29/01/1900 00:00;EURO;LIBRA;0,893
30/01/1900 00:00;EURO;LIBRA;0,891
31/01/1900 00:00;EURO;LIBRA;0,883
01/02/1900 00:00;EURO;LIBRA;0,897
02/02/1900 00:00;EURO;LIBRA;0,89
03/02/1900 00:00;EURO;LIBRA;0,9
04/02/1900 00:00;EURO;LIBRA;0,913
05/02/1900 00:00;EURO;LIBRA;0,91
06/02/1900 00:00;EURO;LIBRA;0,9
07/02/1900 00:00;EURO;LIBRA;0,887
08/02/1900 00:00;EURO;LIBRA;0,885
09/02/1900 00:00;EURO;LIBRA;0,887
10/02/1900 00:00;EURO;LIBRA;0,905
11/02/1900 00:00;EURO;LIBRA;0,882
12/02/1900 00:00;EURO;LIBRA;0,885
13/02/1900 00:00;EURO;LIBRA;0,88
14/02/1900 00:00;EURO;LIBRA;0,902
15/02/1900 00:00;EURO;LIBRA;0,883
16/02/1900 00:00;EURO;LIBRA;0,894
17/02/1900 00:00;EURO;LIBRA;0,918
18/02/1900 00:00;EURO;LIBRA;0,9
19/02/1900 00:00;EURO;LIBRA;0,91
20/02/1900 00:00;EURO;LIBRA;0,887
21/02/1900 00:00;EURO;LIBRA;0,915
22/02/1900 00:00;EURO;LIBRA;0,896
23/02/1900 00:00;EURO;LIBRA;0,914
24/02/1900 00:00;EURO;LIBRA;0,909
25/02/1900 00:00;EURO;LIBRA;0,917
26/02/1900 00:00;EURO;LIBRA;0,916
27/02/1900 00:00;EURO;LIBRA;0,914
28/02/1900 00:00;EURO;LIBRA;0,889
01/03/1900 00:00;EURO;LIBRA;0,92
02/03/1900 00:00;EURO;LIBRA;0,885
03/03/1900 00:00;EURO;LIBRA;0,899
04/03/1900 00:00;EURO;LIBRA;0,909
05/03/1900 00:00;EURO;LIBRA;0,903
06/03/1900 00:00;EURO;LIBRA;0,911
07/03/1900 00:00;EURO;LIBRA;0,902
08/03/1900 00:00;EURO;LIBRA;0,911
09/03/1900 00:00;EURO;LIBRA;0,906
10/03/1900 00:00;EURO;LIBRA;0,905
11/03/1900 00:00;EURO;LIBRA;0,889
12/03/1900 00:00;EURO;LIBRA;0,897
13/03/1900 00:00;EURO;LIBRA;0,886
14/03/1900 00:00;EURO;LIBRA;0,883
15/03/1900 00:00;EURO;LIBRA;0,91
16/03/1900 00:00;EURO;LIBRA;0,889
17/03/1900 00:00;EURO;LIBRA;0,906
18/03/1900 00:00;EURO;LIBRA;0,912
19/03/1900 00:00;EURO;LIBRA;0,917
20/03/1900 00:00;EURO;LIBRA;0,892
21/03/1900 00:00;EURO;LIBRA;0,914
22/03/1900 00:00;EURO;LIBRA;0,916
23/03/1900 00:00;EURO;LIBRA;0,888
24/03/1900 00:00;EURO;LIBRA;0,913
25/03/1900 00:00;EURO;LIBRA;0,899
26/03/1900 00:00;EURO;LIBRA;0,901
27/03/1900 00:00;EURO;LIBRA;0,903
28/03/1900 00:00;EURO;LIBRA;0,891
29/03/1900 00:00;EURO;LIBRA;0,896
30/03/1900 00:00;EURO;LIBRA;0,883
31/03/1900 00:00;EURO;LIBRA;0,917
01/04/1900 00:00;EURO;LIBRA;0,918
02/04/1900 00:00;EURO;LIBRA;0,88
03/04/1900 00:00;EURO;LIBRA;0,91
04/04/1900 00:00;EURO;LIBRA;0,881
05/04/1900 00:00;EURO;LIBRA;0,9
06/04/1900 00:00;EURO;LIBRA;0,882
07/04/1900 00:00;EURO;LIBRA;0,891
08/04/1900 00:00;EURO;LIBRA;0,89
09/04/1900 00:00;EURO;LIBRA;0,89
10/04/1900 00:00;EURO;LIBRA;0,916
11/04/1900 00:00;EURO;LIBRA;0,913
12/04/1900 00:00;EURO;LIBRA;0,889
13/04/1900 00:00;EURO;LIBRA;0,887
14/04/1900 00:00;EURO;LIBRA;0,884
15/04/1900 00:00;EURO;LIBRA;0,912
16/04/1900 00:00;EURO;LIBRA;0,899
17/04/1900 00:00;EURO;LIBRA;0,918
18/04/1900 00:00;EURO;LIBRA;0,905
19/04/1900 00:00;EURO;LIBRA;0,901
20/04/1900 00:00;EURO;LIBRA;0,893
21/04/1900 00:00;EURO;LIBRA;0,917
22/04/1900 00:00;EURO;LIBRA;0,92
23/04/1900 00:00;EURO;LIBRA;0,887
24/04/1900 00:00;EURO;LIBRA;0,884
25/04/1900 00:00;EURO;LIBRA;0,916
26/04/1900 00:00;EURO;LIBRA;0,907
27/04/1900 00:00;EURO;LIBRA;0,893
28/04/1900 00:00;EURO;LIBRA;0,914
29/04/1900 00:00;EURO;LIBRA;0,92
30/04/1900 00:00;EURO;LIBRA;0,888
01/05/1900 00:00;EURO;LIBRA;0,885
02/05/1900 00:00;EURO;LIBRA;0,908
03/05/1900 00:00;EURO;LIBRA;0,894
04/05/1900 00:00;EURO;LIBRA;0,891
05/05/1900 00:00;EURO;LIBRA;0,917
06/05/1900 00:00;EURO;LIBRA;0,914
07/05/1900 00:00;EURO;LIBRA;0,886
08/05/1900 00:00;EURO;LIBRA;0,884
09/05/1900 00:00;EURO;LIBRA;0,915
10/05/1900 00:00;EURO;LIBRA;0,913
11/05/1900 00:00;EURO;LIBRA;0,909
12/05/1900 00:00;EURO;LIBRA;0,89
13/05/1900 00:00;EURO;LIBRA;0,918
14/05/1900 00:00;EURO;LIBRA;0,909
15/05/1900 00:00;EURO;LIBRA;0,89
16/05/1900 00:00;EURO;LIBRA;0,9
17/05/1900 00:00;EURO;LIBRA;0,907
18/05/1900 00:00;EURO;LIBRA;0,889
19/05/1900 00:00;EURO;LIBRA;0,887
20/05/1900 00:00;EURO;LIBRA;0,908
21/05/1900 00:00;EURO;LIBRA;0,899
22/05/1900 00:00;EURO;LIBRA;0,886
23/05/1900 00:00;EURO;LIBRA;0,916
24/05/1900 00:00;EURO;LIBRA;0,88
25/05/1900 00:00;EURO;LIBRA;0,889
26/05/1900 00:00;EURO;LIBRA;0,898
27/05/1900 00:00;EURO;LIBRA;0,891
28/05/1900 00:00;EURO;LIBRA;0,893
29/05/1900 00:00;EURO;LIBRA;0,912
30/05/1900 00:00;EURO;LIBRA;0,895
31/05/1900 00:00;EURO;LIBRA;0,916
01/06/1900 00:00;EURO;LIBRA;0,902
02/06/1900 00:00;EURO;LIBRA;0,914
03/06/1900 00:00;EURO;LIBRA;0,912
04/06/1900 00:00;EURO;LIBRA;0,882
05/06/1900 00:00;EURO;LIBRA;0,891
06/06/1900 00:00;EURO;LIBRA;0,891
07/06/1900 00:00;EURO;LIBRA;0,919
08/06/1900 00:00;EURO;LIBRA;0,907
09/06/1900 00:00;EURO;LIBRA;0,898
10/06/1900 00:00;EURO;LIBRA;0,887
11/06/1900 00:00;EURO;LIBRA;0,918
12/06/1900 00:00;EURO;LIBRA;0,912
13/06/1900 00:00;EURO;LIBRA;0,917
14/06/1900 00:00;EURO;LIBRA;0,886
15/06/1900 00:00;EURO;LIBRA;0,905
16/06/1900 00:00;EURO;LIBRA;0,916
17/06/1900 00:00;EURO;LIBRA;0,906
18/06/1900 00:00;EURO;LIBRA;0,907
19/06/1900 00:00;EURO;LIBRA;0,918
20/06/1900 00:00;EURO;LIBRA;0,881
21/06/1900 00:00;EURO;LIBRA;0,883
22/06/1900 00:00;EURO;LIBRA;0,91
23/06/1900 00:00;EURO;LIBRA;0,886
24/06/1900 00:00;EURO;LIBRA;0,909
25/06/1900 00:00;EURO;LIBRA;0,903
26/06/1900 00:00;EURO;LIBRA;0,897
27/06/1900 00:00;EURO;LIBRA;0,902
28/06/1900 00:00;EURO;LIBRA;0,907
29/06/1900 00:00;EURO;LIBRA;0,886
30/06/1900 00:00;EURO;LIBRA;0,88
01/07/1900 00:00;EURO;LIBRA;0,909
02/07/1900 00:00;EURO;LIBRA;0,883
03/07/1900 00:00;EURO;LIBRA;0,902
04/07/1900 00:00;EURO;LIBRA;0,891
05/07/1900 00:00;EURO;LIBRA;0,898
06/07/1900 00:00;EURO;LIBRA;0,914
07/07/1900 00:00;EURO;LIBRA;0,911
08/07/1900 00:00;EURO;LIBRA;0,895
09/07/1900 00:00;EURO;LIBRA;0,902
10/07/1900 00:00;EURO;LIBRA;0,902
11/07/1900 00:00;EURO;LIBRA;0,917
12/07/1900 00:00;EURO;LIBRA;0,89
13/07/1900 00:00;EURO;LIBRA;0,913
14/07/1900 00:00;EURO;LIBRA;0,92
15/07/1900 00:00;EURO;LIBRA;0,88
16/07/1900 00:00;EURO;LIBRA;0,918
17/07/1900 00:00;EURO;LIBRA;0,892
18/07/1900 00:00;EURO;LIBRA;0,918
19/07/1900 00:00;EURO;LIBRA;0,912
20/07/1900 00:00;EURO;LIBRA;0,88
21/07/1900 00:00;EURO;LIBRA;0,907
22/07/1900 00:00;EURO;LIBRA;0,889
23/07/1900 00:00;EURO;LIBRA;0,889
24/07/1900 00:00;EURO;LIBRA;0,903
25/07/1900 00:00;EURO;LIBRA;0,9
26/07/1900 00:00;EURO;LIBRA;0,882
27/07/1900 00:00;EURO;LIBRA;0,908
28/07/1900 00:00;EURO;LIBRA;0,9
29/07/1900 00:00;EURO;LIBRA;0,886
30/07/1900 00:00;EURO;LIBRA;0,901
31/07/1900 00:00;EURO;LIBRA;0,919
01/08/1900 00:00;EURO;LIBRA;0,901
02/08/1900 00:00;EURO;LIBRA;0,887
03/08/1900 00:00;EURO;LIBRA;0,886
04/08/1900 00:00;EURO;LIBRA;0,883
05/08/1900 00:00;EURO;LIBRA;0,91
06/08/1900 00:00;EURO;LIBRA;0,917
07/08/1900 00:00;EURO;LIBRA;0,895
08/08/1900 00:00;EURO;LIBRA;0,903
09/08/1900 00:00;EURO;LIBRA;0,903
10/08/1900 00:00;EURO;LIBRA;0,905
11/08/1900 00:00;EURO;LIBRA;0,911
12/08/1900 00:00;EURO;LIBRA;0,895
13/08/1900 00:00;EURO;LIBRA;0,9
14/08/1900 00:00;EURO;LIBRA;0,881
15/08/1900 00:00;EURO;LIBRA;0,89
16/08/1900 00:00;EURO;LIBRA;0,89
17/08/1900 00:00;EURO;LIBRA;0,895
18/08/1900 00:00;EURO;LIBRA;0,889
19/08/1900 00:00;EURO;LIBRA;0,885
20/08/1900 00:00;EURO;LIBRA;0,912
21/08/1900 00:00;EURO;LIBRA;0,883
22/08/1900 00:00;EURO;LIBRA;0,915
23/08/1900 00:00;EURO;LIBRA;0,914
24/08/1900 00:00;EURO;LIBRA;0,913
25/08/1900 00:00;EURO;LIBRA;0,883
26/08/1900 00:00;EURO;LIBRA;0,911
27/08/1900 00:00;EURO;LIBRA;0,888
28/08/1900 00:00;EURO;LIBRA;0,906
29/08/1900 00:00;EURO;LIBRA;0,91
30/08/1900 00:00;EURO;LIBRA;0,919
31/08/1900 00:00;EURO;LIBRA;0,88
01/09/1900 00:00;EURO;LIBRA;0,89
02/09/1900 00:00;EURO;LIBRA;0,905
03/09/1900 00:00;EURO;LIBRA;0,88
04/09/1900 00:00;EURO;LIBRA;0,888
05/09/1900 00:00;EURO;LIBRA;0,913
06/09/1900 00:00;EURO;LIBRA;0,899
07/09/1900 00:00;EURO;LIBRA;0,891
08/09/1900 00:00;EURO;LIBRA;0,91
09/09/1900 00:00;EURO;LIBRA;0,88
10/09/1900 00:00;EURO;LIBRA;0,901
11/09/1900 00:00;EURO;LIBRA;0,914
12/09/1900 00:00;EURO;LIBRA;0,904
13/09/1900 00:00;EURO;LIBRA;0,892
14/09/1900 00:00;EURO;LIBRA;0,901
15/09/1900 00:00;EURO;LIBRA;0,887
16/09/1900 00:00;EURO;LIBRA;0,902
17/09/1900 00:00;EURO;LIBRA;0,916
18/09/1900 00:00;EURO;LIBRA;0,885
19/09/1900 00:00;EURO;LIBRA;0,915
20/09/1900 00:00;EURO;LIBRA;0,892
21/09/1900 00:00;EURO;LIBRA;0,91
22/09/1900 00:00;EURO;LIBRA;0,904
23/09/1900 00:00;EURO;LIBRA;0,919
24/09/1900 00:00;EURO;LIBRA;0,919
25/09/1900 00:00;EURO;LIBRA;0,888
26/09/1900 00:00;EURO;LIBRA;0,893
27/09/1900 00:00;EURO;LIBRA;0,886
28/09/1900 00:00;EURO;LIBRA;0,906
29/09/1900 00:00;EURO;LIBRA;0,889
30/09/1900 00:00;EURO;LIBRA;0,892
01/10/1900 00:00;EURO;LIBRA;0,905
02/10/1900 00:00;EURO;LIBRA;0,917
03/10/1900 00:00;EURO;LIBRA;0,89
04/10/1900 00:00;EURO;LIBRA;0,904
05/10/1900 00:00;EURO;LIBRA;0,88
06/10/1900 00:00;EURO;LIBRA;0,909
07/10/1900 00:00;EURO;LIBRA;0,909
08/10/1900 00:00;EURO;LIBRA;0,882
09/10/1900 00:00;EURO;LIBRA;0,902
10/10/1900 00:00;EURO;LIBRA;0,894
11/10/1900 00:00;EURO;LIBRA;0,913
12/10/1900 00:00;EURO;LIBRA;0,907
13/10/1900 00:00;EURO;LIBRA;0,917
14/10/1900 00:00;EURO;LIBRA;0,914
15/10/1900 00:00;EURO;LIBRA;0,896
16/10/1900 00:00;EURO;LIBRA;0,916
17/10/1900 00:00;EURO;LIBRA;0,917
18/10/1900 00:00;EURO;LIBRA;0,89
19/10/1900 00:00;EURO;LIBRA;0,911
20/10/1900 00:00;EURO;LIBRA;0,902
21/10/1900 00:00;EURO;LIBRA;0,918
22/10/1900 00:00;EURO;LIBRA;0,919
23/10/1900 00:00;EURO;LIBRA;0,914
24/10/1900 00:00;EURO;LIBRA;0,898
25/10/1900 00:00;EURO;LIBRA;0,881
26/10/1900 00:00;EURO;LIBRA;0,882
27/10/1900 00:00;EURO;LIBRA;0,888
28/10/1900 00:00;EURO;LIBRA;0,917
29/10/1900 00:00;EURO;LIBRA;0,911
30/10/1900 00:00;EURO;LIBRA;0,916
31/10/1900 00:00;EURO;LIBRA;0,906
01/11/1900 00:00;EURO;LIBRA;0,888
02/11/1900 00:00;EURO;LIBRA;0,919
03/11/1900 00:00;EURO;LIBRA;0,893
04/11/1900 00:00;EURO;LIBRA;0,91
05/11/1900 00:00;EURO;LIBRA;0,888
06/11/1900 00:00;EURO;LIBRA;0,883
07/11/1900 00:00;EURO;LIBRA;0,892
08/11/1900 00:00;EURO;LIBRA;0,899
09/11/1900 00:00;EURO;LIBRA;0,898
10/11/1900 00:00;EURO;LIBRA;0,912
11/11/1900 00:00;EURO;LIBRA;0,887
12/11/1900 00:00;EURO;LIBRA;0,914
13/11/1900 00:00;EURO;LIBRA;0,889
14/11/1900 00:00;EURO;LIBRA;0,885
15/11/1900 00:00;EURO;LIBRA;0,909
16/11/1900 00:00;EURO;LIBRA;0,917
17/11/1900 00:00;EURO;LIBRA;0,897
18/11/1900 00:00;EURO;LIBRA;0,917
19/11/1900 00:00;EURO;LIBRA;0,883
20/11/1900 00:00;EURO;LIBRA;0,915
21/11/1900 00:00;EURO;LIBRA;0,888
22/11/1900 00:00;EURO;LIBRA;0,89
23/11/1900 00:00;EURO;LIBRA;0,885
24/11/1900 00:00;EURO;LIBRA;0,891
25/11/1900 00:00;EURO;LIBRA;0,904
26/11/1900 00:00;EURO;LIBRA;0,906
27/11/1900 00:00;EURO;LIBRA;0,917
28/11/1900 00:00;EURO;LIBRA;0,905
29/11/1900 00:00;EURO;LIBRA;0,887
30/11/1900 00:00;EURO;LIBRA;0,912
01/12/1900 00:00;EURO;LIBRA;0,882
02/12/1900 00:00;EURO;LIBRA;0,917
03/12/1900 00:00;EURO;LIBRA;0,894
04/12/1900 00:00;EURO;LIBRA;0,898
05/12/1900 00:00;EURO;LIBRA;0,92
06/12/1900 00:00;EURO;LIBRA;0,885
07/12/1900 00:00;EURO;LIBRA;0,916
08/12/1900 00:00;EURO;LIBRA;0,891
09/12/1900 00:00;EURO;LIBRA;0,888
10/12/1900 00:00;EURO;LIBRA;0,906
11/12/1900 00:00;EURO;LIBRA;0,909
12/12/1900 00:00;EURO;LIBRA;0,909
13/12/1900 00:00;EURO;LIBRA;0,908
14/12/1900 00:00;EURO;LIBRA;0,885
15/12/1900 00:00;EURO;LIBRA;0,903
16/12/1900 00:00;EURO;LIBRA;0,881
17/12/1900 00:00;EURO;LIBRA;0,897
18/12/1900 00:00;EURO;LIBRA;0,909
19/12/1900 00:00;EURO;LIBRA;0,92
20/12/1900 00:00;EURO;LIBRA;0,897
21/12/1900 00:00;EURO;LIBRA;0,903
22/12/1900 00:00;EURO;LIBRA;0,904
23/12/1900 00:00;EURO;LIBRA;0,915
24/12/1900 00:00;EURO;LIBRA;0,886
25/12/1900 00:00;EURO;LIBRA;0,913
26/12/1900 00:00;EURO;LIBRA;0,911
27/12/1900 00:00;EURO;LIBRA;0,896
28/12/1900 00:00;EURO;LIBRA;0,882
29/12/1900 00:00;EURO;LIBRA;0,918
30/12/1900 00:00;EURO;LIBRA;0,889
31/12/1900 00:00;EURO;LIBRA;0,916
01/01/1901 00:00;EURO;LIBRA;0,906
02/01/1901 00:00;EURO;LIBRA;0,881
03/01/1901 00:00;EURO;LIBRA;0,907
04/01/1901 00:00;EURO;LIBRA;0,88
05/01/1901 00:00;EURO;LIBRA;0,913
06/01/1901 00:00;EURO;LIBRA;0,892
07/01/1901 00:00;EURO;LIBRA;0,89
08/01/1901 00:00;EURO;LIBRA;0,911
09/01/1901 00:00;EURO;LIBRA;0,907
10/01/1901 00:00;EURO;LIBRA;0,893
11/01/1901 00:00;EURO;LIBRA;0,881
12/01/1901 00:00;EURO;LIBRA;0,912
13/01/1901 00:00;EURO;LIBRA;0,917
14/01/1901 00:00;EURO;LIBRA;0,893
15/01/1901 00:00;EURO;LIBRA;0,913
16/01/1901 00:00;EURO;LIBRA;0,914
17/01/1901 00:00;EURO;LIBRA;0,889
18/01/1901 00:00;EURO;LIBRA;0,914
19/01/1901 00:00;EURO;LIBRA;0,911
20/01/1901 00:00;EURO;LIBRA;0,909
21/01/1901 00:00;EURO;LIBRA;0,88
22/01/1901 00:00;EURO;LIBRA;0,893
23/01/1901 00:00;EURO;LIBRA;0,903
24/01/1901 00:00;EURO;LIBRA;0,912
25/01/1901 00:00;EURO;LIBRA;0,899
26/01/1901 00:00;EURO;LIBRA;0,905
27/01/1901 00:00;EURO;LIBRA;0,904
28/01/1901 00:00;EURO;LIBRA;0,886
29/01/1901 00:00;EURO;LIBRA;0,908
30/01/1901 00:00;EURO;LIBRA;0,884
31/01/1901 00:00;EURO;LIBRA;0,917
01/02/1901 00:00;EURO;LIBRA;0,909
02/02/1901 00:00;EURO;LIBRA;0,888
03/02/1901 00:00;EURO;LIBRA;0,884
04/02/1901 00:00;EURO;LIBRA;0,893
05/02/1901 00:00;EURO;LIBRA;0,905
06/02/1901 00:00;EURO;LIBRA;0,916
07/02/1901 00:00;EURO;LIBRA;0,89
08/02/1901 00:00;EURO;LIBRA;0,898
09/02/1901 00:00;EURO;LIBRA;0,9
10/02/1901 00:00;EURO;LIBRA;0,903
11/02/1901 00:00;EURO;LIBRA;0,889
12/02/1901 00:00;EURO;LIBRA;0,913
13/02/1901 00:00;EURO;LIBRA;0,892
14/02/1901 00:00;EURO;LIBRA;0,895
15/02/1901 00:00;EURO;LIBRA;0,891
16/02/1901 00:00;EURO;LIBRA;0,899
