PK_Date;Moeda_Origem;Moeda_Destino;Exchange_Rate
01/01/1900 00:00;LIBRA;EURO;1,128
02/01/1900 00:00;LIBRA;EURO;1,066
03/01/1900 00:00;LIBRA;EURO;1,056
04/01/1900 00:00;LIBRA;EURO;1,142
05/01/1900 00:00;LIBRA;EURO;1,13
06/01/1900 00:00;LIBRA;EURO;1,07
07/01/1900 00:00;LIBRA;EURO;1,144
08/01/1900 00:00;LIBRA;EURO;1,072
09/01/1900 00:00;LIBRA;EURO;1,069
10/01/1900 00:00;LIBRA;EURO;1,143
11/01/1900 00:00;LIBRA;EURO;1,113
12/01/1900 00:00;LIBRA;EURO;1,109
13/01/1900 00:00;LIBRA;EURO;1,124
14/01/1900 00:00;LIBRA;EURO;1,109
15/01/1900 00:00;LIBRA;EURO;1,139
16/01/1900 00:00;LIBRA;EURO;1,133
17/01/1900 00:00;LIBRA;EURO;1,103
18/01/1900 00:00;LIBRA;EURO;1,084
19/01/1900 00:00;LIBRA;EURO;1,132
20/01/1900 00:00;LIBRA;EURO;1,088
21/01/1900 00:00;LIBRA;EURO;1,078
22/01/1900 00:00;LIBRA;EURO;1,116
23/01/1900 00:00;LIBRA;EURO;1,06
24/01/1900 00:00;LIBRA;EURO;1,054
25/01/1900 00:00;LIBRA;EURO;1,13
26/01/1900 00:00;LIBRA;EURO;1,104
27/01/1900 00:00;LIBRA;EURO;1,091
28/01/1900 00:00;LIBRA;EURO;1,055
29/01/1900 00:00;LIBRA;EURO;1,14
30/01/1900 00:00;LIBRA;EURO;1,14
31/01/1900 00:00;LIBRA;EURO;1,082
01/02/1900 00:00;LIBRA;EURO;1,068
02/02/1900 00:00;LIBRA;EURO;1,137
03/02/1900 00:00;LIBRA;EURO;1,148
04/02/1900 00:00;LIBRA;EURO;1,096
05/02/1900 00:00;LIBRA;EURO;1,053
06/02/1900 00:00;LIBRA;EURO;1,103
07/02/1900 00:00;LIBRA;EURO;1,06
08/02/1900 00:00;LIBRA;EURO;1,086
09/02/1900 00:00;LIBRA;EURO;1,114
10/02/1900 00:00;LIBRA;EURO;1,099
11/02/1900 00:00;LIBRA;EURO;1,122
12/02/1900 00:00;LIBRA;EURO;1,105
13/02/1900 00:00;LIBRA;EURO;1,14
14/02/1900 00:00;LIBRA;EURO;1,12
15/02/1900 00:00;LIBRA;EURO;1,145
16/02/1900 00:00;LIBRA;EURO;1,095
17/02/1900 00:00;LIBRA;EURO;1,126
18/02/1900 00:00;LIBRA;EURO;1,13
19/02/1900 00:00;LIBRA;EURO;1,074
20/02/1900 00:00;LIBRA;EURO;1,073
21/02/1900 00:00;LIBRA;EURO;1,075
22/02/1900 00:00;LIBRA;EURO;1,086
23/02/1900 00:00;LIBRA;EURO;1,102
24/02/1900 00:00;LIBRA;EURO;1,127
25/02/1900 00:00;LIBRA;EURO;1,099
26/02/1900 00:00;LIBRA;EURO;1,062
27/02/1900 00:00;LIBRA;EURO;1,127
28/02/1900 00:00;LIBRA;EURO;1,099
01/03/1900 00:00;LIBRA;EURO;1,143
02/03/1900 00:00;LIBRA;EURO;1,129
03/03/1900 00:00;LIBRA;EURO;1,099
04/03/1900 00:00;LIBRA;EURO;1,116
05/03/1900 00:00;LIBRA;EURO;1,127
06/03/1900 00:00;LIBRA;EURO;1,131
07/03/1900 00:00;LIBRA;EURO;1,065
08/03/1900 00:00;LIBRA;EURO;1,145
09/03/1900 00:00;LIBRA;EURO;1,1
10/03/1900 00:00;LIBRA;EURO;1,052
11/03/1900 00:00;LIBRA;EURO;1,076
12/03/1900 00:00;LIBRA;EURO;1,139
13/03/1900 00:00;LIBRA;EURO;1,075
14/03/1900 00:00;LIBRA;EURO;1,134
15/03/1900 00:00;LIBRA;EURO;1,087
16/03/1900 00:00;LIBRA;EURO;1,085
17/03/1900 00:00;LIBRA;EURO;1,145
18/03/1900 00:00;LIBRA;EURO;1,095
19/03/1900 00:00;LIBRA;EURO;1,106
20/03/1900 00:00;LIBRA;EURO;1,126
21/03/1900 00:00;LIBRA;EURO;1,076
22/03/1900 00:00;LIBRA;EURO;1,076
23/03/1900 00:00;LIBRA;EURO;1,103
24/03/1900 00:00;LIBRA;EURO;1,091
25/03/1900 00:00;LIBRA;EURO;1,144
26/03/1900 00:00;LIBRA;EURO;1,138
27/03/1900 00:00;LIBRA;EURO;1,072
28/03/1900 00:00;LIBRA;EURO;1,113
29/03/1900 00:00;LIBRA;EURO;1,14
30/03/1900 00:00;LIBRA;EURO;1,111
31/03/1900 00:00;LIBRA;EURO;1,149
01/04/1900 00:00;LIBRA;EURO;1,091
02/04/1900 00:00;LIBRA;EURO;1,126
03/04/1900 00:00;LIBRA;EURO;1,06
04/04/1900 00:00;LIBRA;EURO;1,092
05/04/1900 00:00;LIBRA;EURO;1,127
06/04/1900 00:00;LIBRA;EURO;1,084
07/04/1900 00:00;LIBRA;EURO;1,064
08/04/1900 00:00;LIBRA;EURO;1,12
09/04/1900 00:00;LIBRA;EURO;1,053
10/04/1900 00:00;LIBRA;EURO;1,129
11/04/1900 00:00;LIBRA;EURO;1,073
12/04/1900 00:00;LIBRA;EURO;1,118
13/04/1900 00:00;LIBRA;EURO;1,058
14/04/1900 00:00;LIBRA;EURO;1,104
15/04/1900 00:00;LIBRA;EURO;1,087
16/04/1900 00:00;LIBRA;EURO;1,114
17/04/1900 00:00;LIBRA;EURO;1,109
18/04/1900 00:00;LIBRA;EURO;1,101
19/04/1900 00:00;LIBRA;EURO;1,104
20/04/1900 00:00;LIBRA;EURO;1,097
21/04/1900 00:00;LIBRA;EURO;1,083
22/04/1900 00:00;LIBRA;EURO;1,054
23/04/1900 00:00;LIBRA;EURO;1,109
24/04/1900 00:00;LIBRA;EURO;1,15
25/04/1900 00:00;LIBRA;EURO;1,058
26/04/1900 00:00;LIBRA;EURO;1,086
27/04/1900 00:00;LIBRA;EURO;1,125
28/04/1900 00:00;LIBRA;EURO;1,068
29/04/1900 00:00;LIBRA;EURO;1,079
30/04/1900 00:00;LIBRA;EURO;1,09
01/05/1900 00:00;LIBRA;EURO;1,097
02/05/1900 00:00;LIBRA;EURO;1,148
03/05/1900 00:00;LIBRA;EURO;1,106
04/05/1900 00:00;LIBRA;EURO;1,13
05/05/1900 00:00;LIBRA;EURO;1,108
06/05/1900 00:00;LIBRA;EURO;1,139
07/05/1900 00:00;LIBRA;EURO;1,076
08/05/1900 00:00;LIBRA;EURO;1,071
09/05/1900 00:00;LIBRA;EURO;1,113
10/05/1900 00:00;LIBRA;EURO;1,098
11/05/1900 00:00;LIBRA;EURO;1,134
12/05/1900 00:00;LIBRA;EURO;1,065
13/05/1900 00:00;LIBRA;EURO;1,053
14/05/1900 00:00;LIBRA;EURO;1,09
15/05/1900 00:00;LIBRA;EURO;1,109
16/05/1900 00:00;LIBRA;EURO;1,123
17/05/1900 00:00;LIBRA;EURO;1,101
18/05/1900 00:00;LIBRA;EURO;1,07
19/05/1900 00:00;LIBRA;EURO;1,128
20/05/1900 00:00;LIBRA;EURO;1,063
21/05/1900 00:00;LIBRA;EURO;1,08
22/05/1900 00:00;LIBRA;EURO;1,115
23/05/1900 00:00;LIBRA;EURO;1,058
24/05/1900 00:00;LIBRA;EURO;1,132
25/05/1900 00:00;LIBRA;EURO;1,149
26/05/1900 00:00;LIBRA;EURO;1,099
27/05/1900 00:00;LIBRA;EURO;1,121
28/05/1900 00:00;LIBRA;EURO;1,14
29/05/1900 00:00;LIBRA;EURO;1,127
30/05/1900 00:00;LIBRA;EURO;1,079
31/05/1900 00:00;LIBRA;EURO;1,128
01/06/1900 00:00;LIBRA;EURO;1,099
02/06/1900 00:00;LIBRA;EURO;1,077
03/06/1900 00:00;LIBRA;EURO;1,11
04/06/1900 00:00;LIBRA;EURO;1,062
05/06/1900 00:00;LIBRA;EURO;1,054
06/06/1900 00:00;LIBRA;EURO;1,117
07/06/1900 00:00;LIBRA;EURO;1,08
08/06/1900 00:00;LIBRA;EURO;1,097
09/06/1900 00:00;LIBRA;EURO;1,132
10/06/1900 00:00;LIBRA;EURO;1,05
11/06/1900 00:00;LIBRA;EURO;1,124
12/06/1900 00:00;LIBRA;EURO;1,065
13/06/1900 00:00;LIBRA;EURO;1,058
14/06/1900 00:00;LIBRA;EURO;1,109
15/06/1900 00:00;LIBRA;EURO;1,067
16/06/1900 00:00;LIBRA;EURO;1,109
17/06/1900 00:00;LIBRA;EURO;1,116
18/06/1900 00:00;LIBRA;EURO;1,054
19/06/1900 00:00;LIBRA;EURO;1,122
20/06/1900 00:00;LIBRA;EURO;1,146
21/06/1900 00:00;LIBRA;EURO;1,106
22/06/1900 00:00;LIBRA;EURO;1,066
23/06/1900 00:00;LIBRA;EURO;1,108
24/06/1900 00:00;LIBRA;EURO;1,108
25/06/1900 00:00;LIBRA;EURO;1,123
26/06/1900 00:00;LIBRA;EURO;1,114
27/06/1900 00:00;LIBRA;EURO;1,115
28/06/1900 00:00;LIBRA;EURO;1,051
29/06/1900 00:00;LIBRA;EURO;1,126
